[SeqWare Pipeline] INFO [2012/07/25 10:10:55] | using HTTP connection
[SeqWare Pipeline] DEBUG [2012/07/25 10:10:55] | Database string is http://localhost:8889/seqware-webservice
[SeqWare Pipeline] DEBUG [2012/07/25 10:10:55] | root is GET http://localhost:8889/seqware-webservice HTTP/1.1 => HTTP/1.1 - OK (200) - The request has succeeded
[SeqWare Pipeline] DEBUG [2012/07/25 10:10:55] | Version is /seqware-webservice
[SeqWare Pipeline] INFO [2012/07/25 10:10:55] | Running Plugin: ca.on.oicr.seqware.deciders.FastqQCDecider
[SeqWare Pipeline] INFO [2012/07/25 10:10:55] | Setting Params: [--study, Breast Cancer Recurrence, --test]
[SeqWare Pipeline] INFO [2012/07/25 10:10:55] | Setting Config
[SeqWare Pipeline] INFO [2012/07/25 10:10:55] | Config File Contents:
[SeqWare Pipeline] INFO [2012/07/25 10:10:55] |   SW_CLUSTER 10.0.3.100
[SeqWare Pipeline] INFO [2012/07/25 10:10:55] |   SW_DB test_seqware_meta_db
[SeqWare Pipeline] INFO [2012/07/25 10:10:55] |   SW_BUNDLE_REPO_DIR /home/mtaschuk/seqware/installed
[SeqWare Pipeline] INFO [2012/07/25 10:10:55] |   SW_REST_PASS admin
[SeqWare Pipeline] INFO [2012/07/25 10:10:55] |   SW_PEGASUS_CONFIG_DIR /home/mtaschuk/.seqware/pegasus
[SeqWare Pipeline] INFO [2012/07/25 10:10:55] |   SW_DB_PASS password
[SeqWare Pipeline] INFO [2012/07/25 10:10:55] |   AWS_ACCESS_KEY AKIAIVCXHCRWAHNLPPAA
[SeqWare Pipeline] INFO [2012/07/25 10:10:55] |   SW_DB_USER seqware
[SeqWare Pipeline] INFO [2012/07/25 10:10:55] |   SW_REST_URL http://localhost:8889/seqware-webservice
[SeqWare Pipeline] INFO [2012/07/25 10:10:55] |   AWS_SECRET_KEY QdMSatqE78Bl2sQ+77a3RrhyXqER+bmBnaShdYak
[SeqWare Pipeline] INFO [2012/07/25 10:10:55] |   SW_REST_USER admin@admin.com
[SeqWare Pipeline] INFO [2012/07/25 10:10:55] |   SW_METADATA_METHOD webservice
[SeqWare Pipeline] INFO [2012/07/25 10:10:55] |   SW_DB_SERVER localhost
[SeqWare Pipeline] INFO [2012/07/25 10:10:55] |   SW_BUNDLE_DIR /home/mtaschuk/seqware/provisioned-bundles
[SeqWare Pipeline] INFO [2012/07/25 10:10:55] |   SW_DAX_DIR /home/mtaschuk/seqware/pegasus
[SeqWare Pipeline] INFO [2012/07/25 10:10:55] | Setting Metadata: net.sourceforge.seqware.common.metadata.MetadataWS@74b23210
[SeqWare Pipeline] INFO [2012/07/25 10:10:55] | Setting Up Plugin: ca.on.oicr.seqware.deciders.FastqQCDecider@5ef4f44a
[SeqWare Pipeline] INFO [2012/07/25 10:10:55] | Invoking Plugin Methods:
[SeqWare Pipeline] INFO [2012/07/25 10:10:55] |   Invoking Method: parse_parameters
[SeqWare Pipeline] INFO [2012/07/25 10:10:55] |   Invoking Method: init
[SeqWare Pipeline] INFO [2012/07/25 10:10:55] |   Invoking Method: do_test
[SeqWare Pipeline] DEBUG [2012/07/25 10:10:55] | The plugin method 'do_test' returned exit value of -1.
[SeqWare Pipeline] DEBUG [2012/07/25 10:10:55] | This means an unimplemented method was called (such as an unneeded optional cleanup or init step)
[SeqWare Pipeline] INFO [2012/07/25 10:10:55] |   Invoking Method: do_run
[SeqWare Pipeline] DEBUG [2012/07/25 10:10:55] | findObject: GET http://localhost:8889/seqware-webservice/studies?title=Breast%20Cancer%20Recurrence HTTP/1.1 => HTTP/1.1 - OK (200) - The request has succeeded
[SeqWare Pipeline] DEBUG [2012/07/25 10:10:56] | Get connection: {}->http://localhost:8889, timeout = 0
[SeqWare Pipeline] DEBUG [2012/07/25 10:10:56] | [{}->http://localhost:8889] total kept alive: 0, total issued: 0, total allocated: 0 out of 20
[SeqWare Pipeline] DEBUG [2012/07/25 10:10:56] | No free connections [{}->http://localhost:8889][null]
[SeqWare Pipeline] DEBUG [2012/07/25 10:10:56] | Available capacity: 100 out of 100 [{}->http://localhost:8889][null]
[SeqWare Pipeline] DEBUG [2012/07/25 10:10:56] | Creating new connection [{}->http://localhost:8889]
[SeqWare Pipeline] DEBUG [2012/07/25 10:10:56] | Connecting to localhost:8889
[SeqWare Pipeline] DEBUG [2012/07/25 10:10:56] | CookieSpec selected: ignore
[SeqWare Pipeline] DEBUG [2012/07/25 10:10:56] | Auth cache not set in the context
[SeqWare Pipeline] DEBUG [2012/07/25 10:10:56] | Proxy auth state: UNCHALLENGED
[SeqWare Pipeline] DEBUG [2012/07/25 10:10:56] | Attempt 1 to execute request
[SeqWare Pipeline] DEBUG [2012/07/25 10:10:56] | Sending request: GET /seqware-webservice/studies?title=Breast%20Cancer%20Recurrence HTTP/1.1
[SeqWare Pipeline] DEBUG [2012/07/25 10:10:56] | >> "GET /seqware-webservice/studies?title=Breast%20Cancer%20Recurrence HTTP/1.1[\r][\n]"
[SeqWare Pipeline] DEBUG [2012/07/25 10:10:56] | >> "Date: Wed, 25 Jul 2012 14:10:56 GMT[\r][\n]"
[SeqWare Pipeline] DEBUG [2012/07/25 10:10:56] | >> "Accept: */*[\r][\n]"
[SeqWare Pipeline] DEBUG [2012/07/25 10:10:56] | >> "Host: localhost:8889[\r][\n]"
[SeqWare Pipeline] DEBUG [2012/07/25 10:10:56] | >> "User-Agent: Restlet-Framework/2.1rc5[\r][\n]"
[SeqWare Pipeline] DEBUG [2012/07/25 10:10:56] | >> "Authorization: Basic YWRtaW5AYWRtaW4uY29tOmFkbWlu[\r][\n]"
[SeqWare Pipeline] DEBUG [2012/07/25 10:10:56] | >> "Connection: Keep-Alive[\r][\n]"
[SeqWare Pipeline] DEBUG [2012/07/25 10:10:56] | >> "[\r][\n]"
[SeqWare Pipeline] DEBUG [2012/07/25 10:10:56] | >> GET /seqware-webservice/studies?title=Breast%20Cancer%20Recurrence HTTP/1.1
